노선번호,총운행횟수,첫차,막차,구분
17,106,515,2330,1
1014,143,500,2340,1
1017,81,430,2320,1
1020,143,430,2320,1
1111,80,420,2320,1
1111,56,420,2320,1
1113,75,510,2340,1
1114,94,500,2350,1
1115,36,530,0,1
1115,54,530,0,1
1119,205,440,2335,1
1120,69,500,2340,1
1122,181,400,10,1
1124,119,500,30,1
1126,175,430,2350,1
1127,77,500,2310,1
1128,104,430,2250,1
1129,57,500,2330,1
1130,108,500,10,1
1131,60,500,2350,1
1132,161,430,2350,1
1133,90,500,2340,1
1135,108,430,2340,1
1136,90,500,0,1
1137,124,430,2310,1
1138,55,430,2340,1
1139,91,430,2340,1
1140,39,500,0,1
1140,26,500,0,1
1141,60,500,2350,1
1142,168,500,0,1
1143,18,500,2330,1
1143,9,500,2330,1
1143,45,500,2330,1
1144,90,430,2300,1
1154,91,430,2320,1
1155,137,430,2300,1
1156,96,440,2320,1
1162,117,500,2340,1
1162,81,500,2340,1
1164,220,500,2340,1
1165,140,430,2330,1
1165,27,430,2330,1
1166,54,445,2330,1
1213,58,440,2240,1
1213,58,440,2240,1
1218,106,410,2250,1
1221,62,430,2330,1
1222,94,400,2310,1
1224,46,430,2330,1
1224,86,430,2330,1
1226,24,430,2240,1
1227,100,430,2320,1
1711,174,430,2300,1
2012,88,400,2240,1
2013,91,420,2250,1
2014,121,430,2340,1
2015,144,430,2310,1
2016,76,400,2215,1
2016,23,400,2215,1
2112,77,430,2240,1
2113,120,530,2330,1
2114,102,530,2330,1
2115,50,400,2240,1
2115,77,400,2240,1
2211,194,440,2325,1
2221,152,430,2315,1
2222,120,430,2330,1
2224,115,430,2340,1
2227,84,450,2320,1
2227,8,450,2320,1
2230,94,420,2245,1
2233,86,430,2240,1
2234,91,530,2330,1
2235,97,530,2330,1
2311,84,400,2215,1
2412,92,410,2250,1
2413,87,410,2310,1
2415,152,430,2320,1
3011,58,420,2250,1
3011,43,420,2250,1
3012,48,400,2230,1
3012,40,400,2230,1
3012,20,400,2230,1
3212,71,430,2330,1
3214,90,440,2320,1
3216,112,430,2250,1
3217,126,430,2315,1
3220,94,430,2245,1
3313,133,440,2340,1
3314,158,450,2330,1
3315,207,440,2330,1
3316,108,450,2330,1
3317,143,430,2330,1
3318,42,430,2310,1
3318,35,430,2310,1
3319,82,430,2330,1
3321,54,430,2340,1
3321,18,430,2340,1
3322,126,400,2320,1
3411,105,430,2320,1
3412,84,350,2220,1
3413,128,420,2300,1
3414,116,430,2300,1
3416,100,440,2330,1
3417,164,430,2330,1
3422,76,430,2220,1
3425,16,400,2230,1
3425,76,400,2230,1
3426,120,420,2300,1
4211,84,355,2300,1
4212,174,400,2300,1
4319,27,420,2300,1
4319,96,420,2300,1
4412,130,430,2250,1
4419,113,400,2300,1
4432,124,400,2320,1
4433,133,540,2340,1
4435,78,420,2330,1
5012,98,430,2240,1
5413,164,420,2310,1
5511,157,530,2330,1
5513,117,530,2330,1
5515,68,530,2330,1
5515,128,530,2330,1
5516,125,500,2300,1
5517,84,430,2230,1
5519,83,600,2325,1
5523,120,430,2320,1
5524,130,400,2230,1
5525,72,450,2320,1
5528,121,430,2250,1
5530,122,440,2250,1
5531,185,420,2300,1
5534,96,415,2300,1
5535,107,430,2310,1
5536,164,430,2320,1
5537,94,430,2330,1
5615,124,410,2300,1
5616,79,420,2220,1
5617,144,450,2350,1
5618,116,330,2210,1
5619,132,430,2330,1
5620,145,430,2310,1
5621,159,520,2350,1
5623,155,400,2240,1
5624,62,410,2300,1
5625,102,400,2240,1
5626,120,405,2230,1
5627,75,430,2330,1
5630,81,415,2300,1
5633,94,420,2250,1
5712,120,430,2230,1
5713,120,400,2220,1
5714,146,415,2220,1
6211,99,420,2240,1
6411,104,400,2240,1
6511,76,410,2310,1
6512,116,350,2230,1
6513,127,430,2230,1
6514,103,400,2200,1
6515,122,410,2210,1
6516,75,400,2200,1
6611,77,500,0,1
6613,70,430,2250,1
6614,91,430,2240,1
6616,96,430,2310,1
6617,97,500,2330,1
6620,72,530,2330,1
6623,89,410,2300,1
6624,136,500,2340,1
6625,87,430,2300,1
6627,79,430,2310,1
6628,177,420,2330,1
6629,113,430,2250,1
6630,66,420,2250,1
6631,148,420,2250,1
6632,114,430,2300,1
6635,91,430,2350,1
6637,183,430,2310,1
6638,80,430,2300,1
6642,94,440,2230,1
6645,94,440,2230,1
6647,120,500,2300,1
6648,82,430,2330,1
6649,82,550,2350,1
6654,85,500,2330,1
6657,58,500,2300,1
6712,78,430,2250,1
6714,68,430,2300,1
6715,134,440,2330,1
6716,120,430,2220,1
7011,108,430,2310,1
7016,139,430,2230,1
7017,126,430,2300,1
7018,127,430,2300,1
7019,132,430,2255,1
7021,134,430,2300,1
7022,135,430,2310,1
7024,67,530,2310,1
7025,108,430,2320,1
7211,45,410,2300,1
7211,115,410,2300,1
7212,96,400,2150,1
7611,93,410,2240,1
7612,184,433,2340,1
7613,83,430,2300,1
7711,113,430,2400,1
7713,84,500,2330,1
7715,115,430,2330,1
7719,45,420,2300,1
7720,116,430,2310,1
7722,97,430,2350,1
7723,126,440,0,1
7726,60,500,2400,1
7727,94,430,2300,1
7728,90,400,2200,1
7730,130,430,2300,1
7734,75,400,2300,1
7737,100,505,2310,1
7738,127,500,2320,1
7739,78,500,2320,1
2312A,48,430,2250,1
2312B,42,430,2250,1
4318방배,85,430,2230,1
4318풍납,80,420,2230,1
5522A,105,500,2330,1
5522B,70,500,2330,1
5522B,30,500,2330,1
6640A,99,430,2310,1
6640B,99,430,2310,1
7013A,45,430,2308,1
7013B,45,444,2310,1
N13상계,4,0,325,1
N13송파,4,0,120,1
N15사당,4,2400,130,1
N15우이,4,2400,130,1
N16도봉,4,10,130,1
N16온수,4,20,140,1
N26강서,4,0,130,1
N26중랑,4,0,130,1
N30,8,2320,340,1
N37송파,4,0,115,1
N37진관,4,0,115,1
N61상계,5,2340,410,1
N61양천,5,2340,410,1
N62면목,4,2340,110,1
N62양천,4,2340,110,1
N65개화,4,0,120,1
N65시흥,4,0,120,1
1213,51,440,2240,2
2013,78,420,2250,2
271,143,420,2240,2
N62면목,4,2340,110,2
605,125,400,2240,2
6631,130,420,2250,2
6632,98,430,2300,2
N65개화,4,0,120,2
5515,68,530,2330,2
5519,68,600,2325,2
643,130,430,2240,2
6515,114,410,2210,2
8541,3,400,440,2
N61양천,5,2340,410,2
500,55,400,2300,2
5531,166,420,2300,2
5623,148,400,2240,2
651,118,400,2240,2
654,73,400,2230,2
6629,107,430,2250,2
6648,74,430,2330,2
6712,73,430,2250,2
672,77,430,2300,2
3012,48,400,2230,2
320,126,400,2300,2
3425,16,400,2230,2
4419,113,400,2300,2
452,127,400,2330,2
9401,66,430,2300,2
9404,154,400,2330,2
9408,76,400,2230,2
270,121,400,2230,2
470,118,400,2240,2
601,121,400,2310,2
710,96,350,2240,2
N26강서,4,0,130,2
333,99,400,2300,2
407,86,400,2300,2
440,111,355,2255,2
2015,138,430,2310,2
2016,68,400,2215,2
240,85,400,2300,2
241,117,400,2300,2
242,77,430,2300,2
106,100,400,2300,2
107,108,400,2220,2
108,80,400,0,2
201,76,400,2400,2
2312B,36,430,2250,2
341,80,430,2330,2
370,145,400,2250,2
542,52,420,2300,2
5624,50,410,2300,2
1014,117,500,2340,2
1020,132,430,2320,2
110A,108,400,2240,2
110B,108,405,2245,2
1113,64,510,2340,2
1114,94,500,2350,2
1162,108,500,2340,2
143,160,400,2210,2
162,132,400,2250,2
4211,93,355,2300,2
463,94,400,2215,2
406,78,420,2320,2
420,163,410,2310,2
4412,111,430,2250,2
4432,124,400,2320,2
4435,72,420,2330,2
472,157,410,2320,2
1213,51,440,2240,2
171,125,400,2300,2
1711,142,430,2300,2
6514,86,400,2200,2
6617,80,500,2330,2
6620,63,530,2330,2
6657,53,500,2300,2
N62양천,4,2340,110,2
3012,36,400,2230,2
302,96,400,2245,2
303,160,400,2220,2
3425,76,400,2230,2
9401,186,430,2300,2
9403,96,500,2400,2
101,96,400,2300,2
1115,18,530,0,2
1165,126,430,2330,2
121,108,400,2230,2
151,150,400,2250,2
152,158,400,2220,2
153,131,400,2220,2
N15우이,4,2400,130,2
700,99,430,20,2
707,85,430,20,2
771,45,430,2350,2
7728,87,400,2200,2
2016,19,400,2215,2
2227,76,450,2320,2
260,120,355,2240,2
262,24,400,2215,2
273,131,410,2230,2
N26중랑,4,0,130,2
505,102,410,2230,2
5413,139,420,2310,2
5525,60,450,2320,2
5537,77,430,2330,2
5617,126,450,2350,2
5619,105,430,2330,2
5620,129,430,2310,2
5621,159,520,2350,2
5627,72,430,2330,2
5633,76,420,2250,2
6637,145,430,2310,2
N65시흥,4,0,120,2
17,98,515,2330,2
674,32,420,2300,2
7017,108,430,2300,2
7021,115,430,2300,2
7730,111,430,2300,2
2113,120,530,2330,2
2114,102,530,2330,2
2234,84,530,2330,2
2235,91,530,2330,2
5522A,105,500,2330,2
5522B,60,500,2330,2
5523,113,430,2320,2
5615,106,410,2300,2
5618,89,330,2210,2
6512,94,350,2230,2
670,57,400,2300,2
503,70,415,2230,2
5534,72,415,2300,2
5630,62,415,2300,2
5714,146,415,2220,2
2,66,700,2330,2
3,60,700,2330,2
5,65,730,2330,2
2112,78,430,2240,2
2211,160,440,2325,2
2230,91,420,2245,2
2233,73,430,2240,2
2311,80,400,2215,2
2312A,36,430,2250,2
262,88,400,2215,2
272,178,415,2230,2
400,81,415,2225,2
405,83,410,2240,2
421,125,400,2210,2
1165,27,430,2330,2
130,167,420,2250,2
144,150,430,2250,2
102,14,400,2310,2
103,136,430,2300,2
1129,57,500,2330,2
1130,110,500,10,2
1133,90,500,2340,2
1137,128,430,2310,2
1140,39,500,0,2
1143,18,500,2330,2
1224,52,430,2330,2
146,40,405,2320,2
173,101,400,2250,2
N61상계,5,2340,410,2
1122,137,400,10,2
2012,88,400,2240,2
2115,44,400,2240,2
261,116,350,2230,2
7018,110,430,2300,2
721,138,420,2240,2
7719,45,420,2300,2
150,133,400,2210,2
160,129,400,2220,2
500,67,400,2300,2
507,101,400,2300,2
600,123,400,2330,2
670,27,400,2300,2
N16도봉,4,10,130,2
301,141,400,2230,2
3011,50,420,2250,2
3426,97,420,2300,2
401,86,400,2230,2
3212,71,430,2330,2
3318,42,430,2310,2
3321,54,430,2340,2
340,149,430,2310,2
3411,99,430,2320,2
3412,77,350,2220,2
3413,107,420,2300,2
342,87,400,2250,2
N30,8,2320,340,2
705,61,350,2320,2
7211,42,410,2300,2
761,81,400,2320,2
7722,74,430,2350,2
7723,105,440,0,2
7734,64,400,2300,2
774,91,345,2320,2
9703,60,500,2300,2
9709,50,450,50,2
9711A,60,500,2330,2
104,176,355,2330,2
1119,175,440,2335,2
1126,150,430,2350,2
7022,116,430,2310,2
7025,90,430,2320,2
702A,148,400,2300,2
702B,88,405,2250,2
7212,92,400,2150,2
751,110,400,2230,2
752,110,415,2220,2
753,75,410,2220,2
7613,75,430,2300,2
7715,111,430,2330,2
7720,108,430,2310,2
8774,36,500,2120,2
9701,77,500,2350,2
9707,134,500,100,2
1111,80,420,2320,2
1162,72,500,2340,2
1164,180,500,2340,2
2115,72,400,2240,2
6513,99,430,2230,2
6613,63,430,2250,2
6614,70,430,2240,2
6616,88,430,2310,2
6638,72,430,2300,2
6640A,88,430,2310,2
6640B,88,430,2310,2
6716,90,430,2220,2
3214,90,440,2320,2
3314,149,450,2330,2
3315,189,440,2330,2
3316,108,450,2330,2
3317,143,430,2330,2
3318,35,430,2310,2
3321,18,430,2340,2
3416,90,440,2330,2
370,35,400,2250,2
604,92,400,2300,2
606,71,400,2300,2
652,108,400,2300,2
653,32,430,2320,2
661,54,430,2330,2
673,65,430,2300,2
674,44,420,2300,2
5012,83,430,2240,2
5528,113,430,2250,2
571,92,430,2240,2
740,113,400,2240,2
750A,73,400,2310,2
7711,68,430,2400,2
7726,60,500,2400,2
7727,103,430,2300,2
8777,18,1000,2000,2
2221,134,430,2315,2
2222,95,430,2330,2
2415,125,430,2320,2
3216,96,430,2250,2
3220,88,430,2245,2
3414,95,430,2300,2
1127,88,500,2310,2
1128,83,430,2250,2
141,138,400,2240,2
142,134,400,2245,2
5625,108,400,2240,2
5626,105,405,2230,2
5713,90,400,2220,2
109,101,427,2320,2
1166,54,445,2330,2
120,162,425,2310,2
650,101,400,2300,2
653,32,430,2320,2
