노선번호,총운행횟수,첫차,막차,구분
2,55,0700,2330,1
3,48,0700,2330,1
5,52,0730,2330,1
17,106,0515,2330,1
100,109,0400,2240,1
101,123,0400,2300,1
101,30,0400,2300,1
102,14,0400,2310,1
102,113,0400,2310,1
103,138,0430,2300,1
104,172,0355,2330,1
105,98,0400,2240,1
106,110,0400,2300,1
107,132,0400,2220,1
108,96,0400,0000,1
109,149,0427,2320,1
120,174,0425,2310,1
121,144,0400,2230,1
130,200,0420,2250,1
140,172,0400,2250,1
141,144,0400,2240,1
142,140,0400,2245,1
143,192,0400,2210,1
144,178,0430,2250,1
145,168,0400,2240,1
146,44,0405,2320,1
146,114,0405,2320,1
147,170,0400,2240,1
148,165,0400,2240,1
150,176,0400,2210,1
151,155,0400,2250,1
152,175,0400,2220,1
153,163,0400,2220,1
160,178,0400,2220,1
162,162,0400,2250,1
171,154,0400,2300,1
172,116,0400,2300,1
173,108,0400,2250,1
201,86,0400,2400,1
202,149,0400,2200,1
240,102,0400,2300,1
241,126,0400,2300,1
242,86,0430,2300,1
260,134,0355,2240,1
261,140,0350,2230,1
262,28,0400,2215,1
262,96,0400,2215,1
270,129,0400,2230,1
271,174,0420,2240,1
272,198,0415,2230,1
273,149,0410,2230,1
301,176,0400,2230,1
302,96,0400,2245,1
303,172,0400,2220,1
320,132,0400,2300,1
333,104,0400,2300,1
340,180,0430,2310,1
341,97,0430,2330,1
342,95,0400,2250,1
350,100,0400,2230,1
360,196,0400,2250,1
362,110,0400,2230,1
370,165,0400,2250,1
370,40,0400,2250,1
400,95,0415,2225,1
401,99,0400,2230,1
402,136,0400,2230,1
405,83,0410,2240,1
406,84,0420,2320,1
407,111,0400,2300,1
420,170,0410,2310,1
421,140,0400,2210,1
440,111,0355,2255,1
441,125,0420,2220,1
452,127,0400,2330,1
461,110,0400,2210,1
463,118,0400,2215,1
470,134,0400,2240,1
471,188,0400,2250,1
472,180,0410,2320,1
500,68,0400,2300,1
500,82,0400,2300,1
501,128,0430,2230,1
502,115,0510,0010,1
503,78,0415,2230,1
504,161,0355,2240,1
505,124,0410,2230,1
506,100,0430,2230,1
507,124,0400,2300,1
540,140,0510,0030,1
541,88,0440,0000,1
542,52,0420,2300,1
571,104,0430,2240,1
600,176,0400,2330,1
601,143,0400,2310,1
602,146,0420,2250,1
603,112,0430,2310,1
604,103,0400,2300,1
605,125,0400,2240,1
606,84,0400,2300,1
640,110,0420,2250,1
641,164,0410,2240,1
643,141,0430,2240,1
650,127,0400,2300,1
651,123,0400,2240,1
652,112,0400,2300,1
653,36,0430,2320,1
653,36,0430,2320,1
654,96,0400,2230,1
661,74,0430,2330,1
662,99,0400,2310,1
670,69,0400,2300,1
670,33,0400,2300,1
672,81,0430,2300,1
673,80,0430,2300,1
674,36,0420,2300,1
674,52,0420,2300,1
700,116,0430,0020,1
701,110,0400,2300,1
704,86,0400,2230,1
705,71,0350,2320,1
707,88,0430,0020,1
710,111,0350,2240,1
720,156,0400,2310,1
721,166,0420,2240,1
740,131,0400,2240,1
751,134,0400,2230,1
752,128,0415,2220,1
753,89,0410,2220,1
761,87,0400,2320,1
771,46,0430,2350,1
773,64,0430,0030,1
774,90,0345,2320,1
1014,143,0500,2340,1
1017,81,0430,2320,1
1020,143,0430,2320,1
1111,80,0420,2320,1
1111,56,0420,2320,1
1113,75,0510,2340,1
1114,94,0500,2350,1
1115,36,0530,0000,1
1115,54,0530,0000,1
1119,205,0440,2335,1
1120,69,0500,2340,1
1122,181,0400,0010,1
1124,119,0500,0030,1
1126,175,0430,2350,1
1127,77,0500,2310,1
1128,104,0430,2250,1
1129,57,0500,2330,1
1130,108,0500,0010,1
1131,60,0500,2350,1
1132,161,0430,2350,1
1133,90,0500,2340,1
1135,108,0430,2340,1
1136,90,0500,0000,1
1137,124,0430,2310,1
1138,55,0430,2340,1
1139,91,0430,2340,1
1140,39,0500,0000,1
1140,26,0500,0000,1
1141,60,0500,2350,1
1142,168,0500,0000,1
1143,18,0500,2330,1
1143,9,0500,2330,1
1143,45,0500,2330,1
1144,90,0430,2300,1
1154,91,0430,2320,1
1155,137,0430,2300,1
1156,96,0440,2320,1
1162,117,0500,2340,1
1162,81,0500,2340,1
1164,220,0500,2340,1
1165,140,0430,2330,1
1165,27,0430,2330,1
1166,54,0445,2330,1
1213,58,0440,2240,1
1213,58,0440,2240,1
